"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AA3","AL1","AY1","AY2","GA1","GA2","GA3","GA4","GF1","GJ1","IA1","IA2","KA1","KA2","MA1","MD1","MW1","REM","EQD"
"07156099999","2003-04-02T17:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","010,1,N,0062,1","99999,9,9,N","999999,9,N,1","+0078,1","+0010,1","10151,1","06,0000,2,1",,,,,,,,,,,,,,,,"99999,9,10057,1","3,1,010,1,+999,9",,"SYN070AAXX  02174 07156 36/// /0112 10078 20010 30057 40151 53010 333 91135;",
"07156099999","2003-04-02T19:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","010,1,N,0062,1","99999,9,9,N","999999,9,N,1","+0053,1","+0030,1","10169,1",,,,,,,,,,,,,,,,,"99999,9,10074,1","1,1,027,1,+999,9",,"SYN070AAXX  02194 07156 26/// /0112 10053 20030 30074 40169 51027 333 60025;",
"07156099999","2003-04-02T20:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","360,1,N,0051,1","99999,9,9,N","999999,9,N,1","+0059,1","+0027,1","10173,1",,,,,,,,,,,,,,,,,"99999,9,10078,1","1,1,021,1,+999,9",,"SYN070AAXX  02204 07156 26/// /3610 10059 20027 30078 40173 51021 333 69925;",
"07156099999","2003-04-02T22:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","360,1,N,0041,1","99999,9,9,N","999999,9,N,1","+0052,1","+0020,1","10185,1","06,0000,9,1",,,,,,,,,,,,,,,,"99999,9,10090,1","3,1,016,1,+999,9",,"SYN060AAXX  02224 07156 36/// /3608 10052 20020 30090 40185 53016;","Q01  00002PRCP06"
"07156099999","2003-04-02T23:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","360,1,N,0051,1","99999,9,9,N","999999,9,N,1","+0047,1","+0014,1","10188,1","06,0000,9,1",,,,,,,,,,,,,,,,"99999,9,10092,1","1,1,014,1,+999,9",,"SYN060AAXX  02234 07156 36/// /3610 10047 20014 30092 40188 51014;","Q01  00002PRCP06"
"07156099999","2003-04-03T01:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","360,1,N,0051,1","99999,9,9,N","999999,9,N,1","+0045,1","+0006,1","10194,1","06,0000,9,1",,,,,,,,,,,,,,,,"99999,9,10098,1","3,1,008,1,+999,9",,"SYN060AAXX  03014 07156 36/// /3610 10045 20006 30098 40194 53008;","Q01  00002PRCP06"
"07156099999","2003-04-03T02:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","350,1,N,0051,1","99999,9,9,N","999999,9,N,1","+0040,1","+0005,1","10195,1","06,0000,9,1",,,,,,,,,,,,,,,,"99999,9,10099,1","1,1,007,1,+999,9",,"SYN060AAXX  03024 07156 36/// /3510 10040 20005 30099 40195 51007;","Q01  00002PRCP06"
"07156099999","2003-04-03T05:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","010,1,N,0051,1","00600,1,9,N","015000,1,N,1","+0041,1","+0004,1","10210,1","06,0000,9,1",,,,,,"06,1,+00600,9,06,9",,,,"06,99,1,06,1,05,1,00800,1,00,1,00,1",,,,,,"99999,9,10114,1","3,1,015,1,+999,9",,"SYN076AAXX  03054 07156 32565 60110 10041 20004 30114 40210 53015 86500 333 86620;","Q01  00002PRCP06"
"07156099999","2003-04-03T07:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","010,1,N,0051,1","00900,1,C,N","015000,1,N,1","+0046,1","+0004,1","10225,1","06,0000,9,1",,,,,,"01,1,+00300,9,08,9",,,,"06,99,1,06,1,08,1,00450,1,00,1,00,1",,,,,,"99999,9,10129,1","1,1,023,1,+999,9",,"SYN082AAXX  03074 07156 32465 60110 10046 20004 30129 40225 51023 86800 333 81810 86626;","Q01  00002PRCP06"
"07156099999","2003-04-03T08:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","010,1,N,0072,1","00750,1,C,N","020000,1,N,1","+0056,1","+0006,1","10232,1","06,0000,9,1",,,,,,"01,1,+00600,9,08,9",,,,"05,99,1,05,1,01,1,00800,1,03,1,00,1",,,,,,"99999,9,10136,1","1,1,022,1,+999,9",,"SYN082AAXX  03084 07156 32570 50114 10056 20006 30136 40232 51022 85130 333 81820 85358;","Q01  00002PRCP06"
"07156099999","2003-04-03T10:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","030,1,N,0051,1","00990,1,9,N","020000,1,N,1","+0082,1","-0008,1","10239,1","06,0000,9,1",,,,,,"07,1,+00990,9,08,9",,,,"07,99,1,07,1,02,1,01250,1,99,9,99,9",,,,,,"99999,9,10144,1","1,1,015,1,+999,9",,"SYN076AAXX  03104 07156 32670 70310 10082 21008 30144 40239 51015 872// 333 87833;","Q01  00002PRCP06"
"07156099999","2003-04-03T11:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","030,1,N,0062,1","99999,9,9,N","999999,9,N,1","+0071,1","+0001,1","10244,1","06,0000,9,1",,,,,,,,,,,,,,,,"99999,9,10149,1","2,1,013,1,+999,9",,"SYN060AAXX  03114 07156 36/// /0312 10071 20001 30149 40244 52013;","Q01  00002PRCP06"
"07156099999","2003-04-03T13:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","020,1,N,0062,1","00990,1,9,N","020000,1,N,1","+0081,1","-0004,1","10246,1","01,9999,2,9",,,,"8,1,99,9","6,1,99,9","08,1,+00990,9,08,9",,,,"08,99,1,08,1,02,1,01250,1,99,9,99,9",,,,,,"99999,9,10151,1","1,1,007,1,+999,9","25,1","SYN088AAXX  03134 07156 21670 80212 10081 21004 30151 40246 51007 72586 882// 333 69905 88833;",
"07156099999","2003-04-03T14:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","010,1,N,0062,1","22000,1,9,N","020000,1,N,1","+0082,1","+0000,1","10247,1","01,9999,2,9",,,,"8,1,99,9","6,1,99,9","01,1,+00690,9,08,9",,,,"02,99,1,02,1,08,1,00800,1,00,1,00,1",,,,,,"99999,9,10152,1","2,1,003,1,+999,9","25,1","SYN088AAXX  03144 07156 21570 20112 10082 20000 30152 40247 52003 72586 82800 333 69905 81823;",
"07156099999","2003-04-03T16:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","020,1,N,0062,1","99999,9,9,N","999999,9,N,1","+0089,1","-0004,1","10249,1","06,0000,2,1",,,,,,,,,,,,,,,,"99999,9,10154,1","0,1,003,1,+999,9",,"SYN060AAXX  03164 07156 36/// /0212 10089 21004 30154 40249 50003;",
"07156099999","2003-04-03T17:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","020,1,N,0062,1","99999,9,9,N","999999,9,N,1","+0091,1","-0019,1","10258,1","06,0000,2,1",,,,,,,,,,,,,,,,"99999,9,10163,1","3,1,011,1,+999,9",,"SYN060AAXX  03174 07156 36/// /0212 10091 21019 30163 40258 53011;",
"07156099999","2003-04-03T19:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","020,1,N,0062,1","99999,9,9,N","999999,9,N,1","+0073,1","-0027,1","10277,1","06,0000,2,1",,,,,,,,,,,,,,,,"99999,9,10181,1","3,1,027,1,+999,9",,"SYN060AAXX  03194 07156 36/// /0212 10073 21027 30181 40277 53027;",
"07156099999","2003-04-03T20:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","020,1,N,0062,1","99999,9,9,N","999999,9,N,1","+0065,1","-0016,1","10285,1","06,0000,2,1",,,,,,,,,,,,,,,,"99999,9,10189,1","2,1,026,1,+999,9",,"SYN060AAXX  03204 07156 36/// /0212 10065 21016 30189 40285 52026;",
"07156099999","2003-04-03T22:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","020,1,N,0051,1","99999,9,9,N","999999,9,N,1","+0054,1","-0008,1","10301,1","06,0000,9,1",,,,,,,,,,,,,,,,"99999,9,10205,1","3,1,024,1,+999,9",,"SYN060AAXX  03224 07156 36/// /0210 10054 21008 30205 40301 53024;","Q01  00002PRCP06"
"07156099999","2003-04-03T23:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","020,1,N,0051,1","99999,9,9,N","999999,9,N,1","+0048,1","-0004,1","10305,1","06,0000,9,1",,,,,,,,,,,,,,,,"99999,9,10208,1","1,1,019,1,+999,9",,"SYN060AAXX  03234 07156 36/// /0210 10048 21004 30208 40305 51019;","Q01  00002PRCP06"
"07156099999","2003-04-04T01:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","030,1,N,0041,1","99999,9,9,N","999999,9,N,1","+0042,1","+0002,1","10307,1","06,0000,9,1",,,,,,,,,,,,,,,,"99999,9,10210,1","0,1,005,1,+999,9",,"SYN060AAXX  04014 07156 36/// /0308 10042 20002 30210 40307 50005;","Q01  00002PRCP06"
"07156099999","2003-04-04T02:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","030,1,N,0041,1","99999,9,9,N","999999,9,N,1","+0039,1","+0004,1","10305,1","06,0000,9,1",,,,,,,,,,,,,,,,"99999,9,10208,1","0,1,000,1,+999,9",,"SYN060AAXX  04024 07156 36/// /0308 10039 20004 30208 40305 50000;","Q01  00002PRCP06"
"07156099999","2003-04-04T04:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","010,1,N,0031,1","99999,9,9,N","999999,9,N,1","+0030,1","+0001,1","10305,1","06,0000,9,1",,,,,,,,,,,,,,,,"99999,9,10208,1","5,1,002,1,+999,9",,"SYN060AAXX  04044 07156 36/// /0106 10030 20001 30208 40305 55002;","Q01  00002PRCP06"
"07156099999","2003-04-04T05:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","030,1,N,0041,1","22000,1,9,N","010000,1,N,1","+0031,1","+0000,1","10309,1","06,0000,9,1",,,,,,"00,1,+99999,9,99,9",,,,"00,99,1,00,1,00,1,99999,9,00,1,00,1",,,,,,"99999,9,10212,1","3,1,004,1,+999,9",,"SYN060AAXX  04054 07156 32960 00308 10031 20000 30212 40309 53004;","Q01  00002PRCP06"
